"Host","Synonym"
"neodon leucurus","microtus tsaidamensis"
"neodon leucurus","microtus waltoni"
"neodon leucurus","microtus waltoni petulans"
"neofelis nebulosa","neofelis nebulosa"
"neomonachus schauinslandi","neomonachus schauinslandi"
"neomonachus schauinslandi","monachus schauinslandi"
"neomys anomalus","neomys anomalus"
"neomys fodiens","neomys fodiens"
"neophocaena asiaeorientalis","neophocaena asiaeorientalis"
"neophocaena asiaeorientalis","neophocaena phocaenoides asiaeorientalis"
"neophocaena asiaeorientalis","neomeris asiaeorientalis"
"neoromicia brunneus","lookup fail"
"neoromicia helios","lookup fail"
"neoromicia somalicus","lookup fail"
"neoromicia tenuipinnis","lookup fail"
"neotoma albigula","neotoma albigula"
"neotoma albigula","neotoma cumulator"
"neotoma albigula","neotoma venusta"
"neotoma albigula","neotoma intermedia angusticeps"
"neotoma albigula","neotoma albigula brevicauda"
"neotoma albigula","neotoma desertorum grandis"
"neotoma albigula","neotoma albigula laplataensis"
"neotoma albigula","neotoma albigula mearnsi"
"neotoma albigula","neotoma intermedia melanura"
"neotoma albigula","neotoma albigula seri"
"neotoma albigula","neotoma albigula sheldoni"
"neotoma cinerea","neotoma cinerea"
"neotoma cinerea","neotoma arizonae"
"neotoma cinerea","neotoma cinnamomea"
"neotoma cinerea","myoxus drummondii"
"neotoma cinerea","neotoma grangeri"
"neotoma cinerea","neotoma occidentalis"
"neotoma cinerea","neotoma orolestes"
"neotoma cinerea","neotoma saxamans"
"neotoma cinerea","teonoma cinerea acraea"
"neotoma cinerea","neotoma cinerea alticola"
"neotoma cinerea","neotoma fuscus apicalis"
"neotoma cinerea","neotoma cinerea columbiana"
"neotoma cinerea","neotoma occidentalis fusca"
"neotoma cinerea","neotoma cinerea lucida"
"neotoma cinerea","neotoma cinerea macrodon"
"neotoma cinerea","neotoma cinerea pulla"
"neotoma cinerea","teonoma cinerea acraia"
"neotoma floridana","neotoma floridana"
"neotoma floridana","neotoma floridana floridana"
"neotoma floridana","neotoma floridana smalli"
"neotoma floridana","neotoma attwateri"
"neotoma floridana","neotoma baileyi"
"neotoma floridana","neotoma campestris"
"neotoma floridana","neotoma floridana haematoreia"
"neotoma floridana","neotoma floridana illinoensis"
"neotoma floridana","neotoma floridana osagensis"
"neotoma floridana","neotoma floridana rubida"
"neotoma fuscipes","neotoma fuscipes"
"neotoma fuscipes","neotoma fuscipes riparia"
"neotoma fuscipes","neotoma fuscipes fuscipes"
"neotoma fuscipes","neotoma monochroura"
"neotoma fuscipes","neotoma splendens"
"neotoma fuscipes","neotoma fuscipes annectens"
"neotoma fuscipes","neotoma fuscipes bullatior"
"neotoma fuscipes","neotoma fuscipes perplexa"
"neotoma lepida","neotoma lepida"
"neotoma lepida","neotoma abbreviata"
"neotoma lepida","neotoma arenacea"
"neotoma lepida","neotoma bella"
"neotoma lepida","neotoma californica"
"neotoma lepida","neotoma desertorum"
"neotoma lepida","neotoma insularis"
"neotoma lepida","neotoma intermedia"
"neotoma lepida","neotoma nevadensis"
"neotoma lepida","neotoma nudicauda"
"neotoma lepida","neotoma lepida aridicola"
"neotoma lepida","neotoma lepida egressa"
"neotoma lepida","neotoma bella felipensis"
"neotoma lepida","neotoma intermedia gilva"
"neotoma lepida","neotoma lepida grinnelli"
"neotoma lepida","neotoma lepida latirostra"
"neotoma lepida","neotoma lepida marcosensis"
"neotoma lepida","neotoma lepida marshalli"
"neotoma lepida","neotoma lepida molagrandis"
"neotoma lepida","neotoma lepida monstrabilis"
"neotoma lepida","neotoma intermedia notia"
"neotoma lepida","neotoma intermedia perpallida"
"neotoma lepida","neotoma lepida petricola"
"neotoma lepida","neotoma intermedia pretiosa"
"neotoma lepida","neotoma intermedia ravida"
"neotoma lepida","neotoma lepida sanrafaeli"
"neotoma lepida","neotoma desertorum sola"
"neotoma lepida","neotoma intermedia vicina"
"neotoma lepida","neotoma lepida intermedia"
"neotoma leucodon","neotoma leucodon"
"neotoma leucodon","neotoma latifrons"
"neotoma leucodon","neotoma montezumae"
"neotoma leucodon","neotoma intermedia durangae"
"neotoma leucodon","neotoma albigula melas"
"neotoma leucodon","neotoma albigula robusta"
"neotoma leucodon","neotoma albigula subsolana"
"neotoma leucodon","neotoma albigula warreni"
"neotoma leucodon","neotoma leucodon zacatecae"
"neotoma macrotis","neotoma macrotis"
"neotoma macrotis","neotoma fuscipes cnemophila"
"neotoma macrotis","neotoma fuscipes dispar"
"neotoma macrotis","neotoma fuscipes luciana"
"neotoma macrotis","neotoma fuscipes martirensis"
"neotoma macrotis","neotoma fuscipes mohavensis"
"neotoma macrotis","neotoma macrotis simplex"
"neotoma macrotis","neotoma fuscipes streatori"
"neotoma mexicana","neotoma mexicana"
"neotoma mexicana","neotoma distincta"
"neotoma mexicana","neotoma fallax"
"neotoma mexicana","neotoma ferruginea"
"neotoma mexicana","neotoma isthmica"
"neotoma mexicana","neotoma navus"
"neotoma mexicana","neotoma parvidens"
"neotoma mexicana","neotoma picta"
"neotoma mexicana","neotoma pinetorum"
"neotoma mexicana","neotoma sinaloae"
"neotoma mexicana","neotoma tenuicauda"
"neotoma mexicana","neotoma torquata"
"neotoma mexicana","neotoma tropicalis"
"neotoma mexicana","neotoma mexicana atrata"
"neotoma mexicana","neotoma mexicana bullata"
"neotoma mexicana","neotoma ferruginea chamula"
"neotoma mexicana","neotoma mexicana eremita"
"neotoma mexicana","neotoma ferruginea griseoventer"
"neotoma mexicana","neotoma mexicana inopinata"
"neotoma mexicana","neotoma mexicana inornata"
"neotoma mexicana","neotoma mexicana madrensis"
"neotoma mexicana","neotoma ferruginea ochracea"
"neotoma mexicana","neotoma mexicana scopulorum"
"neotoma mexicana","neotoma ferruginea solitaria"
"neotoma mexicana","neotoma ferruginea vulcani"
"neotoma micropus","neotoma micropus"
"neotoma micropus","neotoma micropus canescens"
"neotoma micropus","neotoma micropus leucophaea"
"neotoma micropus","neotoma micropus littoralis"
"neotoma micropus","neotoma micropus planiceps"
"neotoma micropus","neotoma macropus surberi"
"neotoma stephensi","neotoma stephensi"
"neotoma stephensi","neotoma stephensi relicta"
"neovison vison","lookup fail"
"nephelomys albigularis","nephelomys albigularis"
"nephelomys albigularis","oryzomys albigularis"
"nephelomys devius","nephelomys devius"
"nephelomys devius","oryzomys devius"
"neurotrichus gibbsii","neurotrichus gibbsii"
"niviventer confucianus","niviventer confucianus"
"niviventer confucianus","rattus elegans"
"niviventer confucianus","rattus mentosus"
"niviventer confucianus","epimys zappeyi"
"niviventer confucianus","epimys confucianus canorus"
"niviventer confucianus","rattus confucianus chihliensis"
"niviventer confucianus","rattus confucianus littoreus"
"niviventer confucianus","mus confucianus luticolor"
"niviventer confucianus","mus confucianus sacer"
"niviventer confucianus","rattus confucianus sinianus"
"niviventer coninga","niviventer coninga"
"niviventer coninga","niviventer coxingi"
"niviventer coninga","mus coxinga"
"niviventer coninga","niviventer coxingi"
"niviventer cremoriventer","niviventer cremoriventer"
"niviventer cremoriventer","epimys barussanus"
"niviventer cremoriventer","mus flaviventer"
"niviventer cremoriventer","mus gilbiventer"
"niviventer cremoriventer","mus kina"
"niviventer cremoriventer","epimys mengurus"
"niviventer cremoriventer","epimys solus"
"niviventer cremoriventer","epimys spatulatus"
"niviventer cremoriventer","rattus cremoriventer cretaceiventer"
"niviventer cremoriventer","rattus cremoriventer malawali"
"niviventer cremoriventer","rattus cremoriventer sumatrae"
"niviventer eha","niviventer eha"
"niviventer eha","rattus eha ninus"
"niviventer excelsior","niviventer excelsior"
"niviventer fulvescens","niviventer fulvescens"
"niviventer fulvescens","rattus blythi"
"niviventer fulvescens","mus bukit"
"niviventer fulvescens","mus caudatior"
"niviventer fulvescens","mus cinnamomeus"
"niviventer fulvescens","rattus flavipilis"
"niviventer fulvescens","epimys gracilis"
"niviventer fulvescens","mus huang"
"niviventer fulvescens","leggada jerdoni"
"niviventer fulvescens","epimys lepidus"
"niviventer fulvescens","mus ling"
"niviventer fulvescens","mus octomammis"
"niviventer fulvescens","epimys orbus"
"niviventer fulvescens","rattus wongi"
"niviventer fulvescens","rattus bukit baturus"
"niviventer fulvescens","rattus lepturus besuki"
"niviventer fulvescens","rattus bukit condorensis"
"niviventer fulvescens","rattus bukit jacobsoni"
"niviventer fulvescens","rattus bukit lepturoides"
"niviventer fulvescens","rattus bukit lieftincki"
"niviventer fulvescens","epimys jerdoni marinus"
"niviventer fulvescens","rattus blythi mekongis"
"niviventer fulvescens","rattus flavipilis minor"
"niviventer fulvescens","epimys jerdoni pan"
"niviventer fulvescens","rattus bukit temmincki"
"niviventer fulvescens","rattus bukit treubii"
"niviventer fulvescens","rattus huang vulpicolor"
"niviventer niviventer","niviventer niviventer"
"niviventer niviventer","epimys lepcha"
"noctilio leporinus","noctilio leporinus"
"nomascus concolor","nomascus concolor"
"nomascus concolor","hylobates concolor"
"nomascus gabriellae","nomascus gabriellae"
"nomascus gabriellae","hylobates gabriellae"
"nomascus leucogenys","nomascus leucogenys"
"nomascus leucogenys","hylobates leucogenys"
"notamacropus agilis","lookup fail"
"notamacropus dorsalis","lookup fail"
"notamacropus eugenii","lookup fail"
"notamacropus parma","lookup fail"
"notamacropus parryi","lookup fail"
"notamacropus rufogriseus","lookup fail"
"nyctalus lasiopterus","nyctalus lasiopterus"
"nyctalus lasiopterus","vespertilio lasiopterus"
"nyctalus leisleri","nyctalus leisleri"
"nyctalus noctula","nyctalus noctula"
"nyctalus plancyi","nyctalus plancyi"
"nyctalus velutinus","lookup fail"
"nyctereutes procyonoides","nyctereutes procyonoides"
"nyctereutes procyonoides","canis procyonoides"
"nycteris gambiensis","nycteris gambiensis"
"nycteris gambiensis","petalia gambiensis"
"nycteris grandis","nycteris grandis"
"nycteris hispida","nycteris hispida"
"nycteris hispida","vespertilio hispidus"
"nycteris macrotis","nycteris macrotis"
"nycteris macrotis","nycteris vinsoni"
"nycteris macrotis","nycteris oriana"
"nycteris macrotis","nycteris aethiopica"
"nycteris macrotis","nycteris macrotis macrotis"
"nycteris macrotis","nycteris macrotis aethiopica"
"nycteris macrotis","nycteris macrotis luteola"
"nycteris macrotis","nycteris macrotis oriana"
"nycteris macrotis","nycteris aethiopica luteola"
"nycteris nana","nycteris nana"
"nycteris nana","petalia nana"
"nycteris thebaica","nycteris thebaica"
"nycteris thebaica","nycteris thebaicus"
"nycteris thebaica","nycteris angolensis"
"nycteris thebaica","nycteris capensis"
"nycteris thebaica","nycteris damarensis"
"nycteris thebaica","nycteris labiata"
"nycteris thebaica","nycteris thebaica thebaica"
"nycteris thebaica","nycteris thebaica adana"
"nycteris thebaica","nycteris thebaica angolensis"
"nycteris thebaica","nycteris thebaica brockmani"
"nycteris thebaica","nycteris thebaica capensis"
"nycteris thebaica","nycteris thebaica damarensis"
"nycteris thebaica","nycteris thebaica labiata"
"nycteris thebaica","nycteris thebaica najdiya"
"nycteris thebaica","petalia damarensis brockmani"
"nycteris thebaica","petalia thebaica adana"
"nycteris tragata","nycteris tragata"
"nycteris tragata","petalia tragata"
"nycticebus bengalensis","nycticebus bengalensis"
"nycticebus bengalensis","nycticebus cinereus"
"nycticebus bengalensis","nycticebus incanus"
"nycticebus bengalensis","nycticebus tenasserimensis"
"nycticebus coucang","nycticebus coucang"
"nycticebus coucang","lemur tardigradus"
"nycticebus coucang","nycticebus sumatrensis"
"nycticebus coucang","nycticebus coucang brachycephalus"
"nycticebus coucang","nycticebus coucang buku"
"nycticebus coucang","nycticebus coucang hilleri"
"nycticebus coucang","nycticebus coucang insularis"
"nycticebus coucang","nycticebus tardigradus malaiana"
"nycticebus pygmaeus","nycticebus pygmaeus"
"nycticebus pygmaeus","nycticebus intermedius"
"nycticeius humeralis","nycticeius humeralis"
"nyctimene cephalotes","nyctimene cephalotes"
"nyctinomops laticaudatus","nyctinomops laticaudatus"
"nyctinomops macrotis","nyctinomops macrotis"
"nyctinomops macrotis","nyctinomus macrotis"
"nyctophilus arnhemensis","nyctophilus arnhemensis"
"nyctophilus geoffroyi","nyctophilus geoffroyi"
"nyctophilus gouldi","nyctophilus gouldi"
"ochotona alpina","ochotona alpina"
"ochotona alpina","lepus alpinus"
"ochotona curzoniae","ochotona curzoniae"
"ochotona curzoniae","lagomys curzoniae"
"ochotona curzoniae","lagomys melanostoma"
"ochotona thibetana","ochotona thibetana"
"odobenus rosmarus","odobenus rosmarus"
"odobenus rosmarus","phoca rosmarus"
"odobenus rosmarus","rosmarus arcticus"
"odocoileus hemionus","odocoileus hemionus"
"odocoileus virginianus","odocoileus virginianus"
"odocoileus virginianus","dama virginianus"
"odocoileus virginianus","dama virginiana"
"oecomys auyantepui","oecomys auyantepui"
"oecomys bicolor","oecomys bicolor"
"oecomys bicolor","oecomys endersi"
"oecomys bicolor","oecomys florenciae"
"oecomys bicolor","oecomys milleri"
"oecomys bicolor","oecomys trabeatus"
"oecomys paricola","oecomys paricola"
"oecomys roberti","oecomys roberti"
"oecomys rutilus","oecomys rutilus"
"okapia johnstoni","okapia johnstoni"
"oligoryzomys chacoensis","oligoryzomys chacoensis"
"oligoryzomys flavescens","oligoryzomys flavescens"
"oligoryzomys fornesi","oligoryzomys fornesi"
"oligoryzomys fulvescens","oligoryzomys fulvescens"
"oligoryzomys fulvescens","oryzomys costaricensis"
"oligoryzomys fulvescens","oryzomys nicaraguae"
"oligoryzomys fulvescens","oryzomys fulvescens engraciae"
"oligoryzomys fulvescens","oryzomys fulvescens lenis"
"oligoryzomys fulvescens","oryzomys fulvescens mayensis"
"oligoryzomys fulvescens","oryzomys fulvescens pacificus"
"oligoryzomys longicaudatus","oligoryzomys longicaudatus"
"oligoryzomys mattogrossae","lookup fail"
"oligoryzomys microtis","oligoryzomys microtis"
"oligoryzomys microtis","oryzomys mattogrossae"
"oligoryzomys microtis","oryzomys microtis"
"oligoryzomys nigripes","oligoryzomys nigripes"
"oligoryzomys utiaritensis","oligoryzomys utiaritensis"
"oligoryzomys vegetus","oligoryzomys vegetus"
"oligoryzomys vegetus","oryzomys fulvescens creper"
"oligoryzomys vegetus","oryzomys fulvescens reventazoni"
"ondatra zibethicus","ondatra zibethicus"
"ondatra zibethicus","castor zibethicus"
"ondatra zibethicus","ondatra americana"
"ondatra zibethicus","fiber zibethicus nigra"
"ondatra zibethicus","fiber zibethicus maculosa"
"ondatra zibethicus","fiber zibethicus varius"
"ondatra zibethicus","fiber zibethicus niger"
"ondatra zibethicus","ondatra zibethicus zibethicus"
"ondatra zibethicus","fiber macrodon"
"ondatra zibethicus","fiber obscurus"
"ondatra zibethicus","fiber occipitalis"
"ondatra zibethicus","fiber osoyoosensis"
"ondatra zibethicus","fiber spatulatus"
"ondatra zibethicus","fiber zibethicus albus"
"ondatra zibethicus","fiber zibethicus aquilonius"
"ondatra zibethicus","ondatra zibethica bernardi"
"ondatra zibethicus","fiber zibethicus cinnamominus"
"ondatra zibethicus","fiber zibethicus hudsonius"
"ondatra zibethicus","ondatra zibethica goldmani"
"ondatra zibethicus","fiber zibethicus mergens"
"ondatra zibethicus","fiber zibethicus pallidus"
"ondatra zibethicus","fiber zibethicus ripensis"
"ondatra zibethicus","fiber zibethicus rivalicius"
"ondatra zibethicus","fiber zibethicus zalophus"
"ondatra zibethicus","ondatra zibethicus ripensis"
